Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9;16;20;17;13;18;5;6;15;22;25;22;188
1387E;8;12;18;14;11;12;3;;15;20;25;23;
1428;12;16;20;15;11;21;5;5;17;22;24;23;191
8175;2;6;19;15;4;4;1;4;5;9;10;16;95
8178D;2;7;19;13;3;5;0;5;7;10;12;19;102
8025;8;4;20;;;0;0;;7;1;4;8;
8019;9;5;19;12;7;2;2;3;8;2;6;12;87
6325O;4;4;15;12;4;1;0;2;3;0;3;10;58
9091O;10;13;19;11;9;12;4;12;11;12;22;15;150
1212E;12;9;20;15;12;21;8;16;13;20;21;26;193
1208H;11;8;15;16;14;19;9;16;13;13;20;21;175
1249I;10;13;18;12;16;21;7;16;15;13;17;19;177
2444;1;5;19;8;5;5;2;7;10;14;18;13;107
4452;1;2;14;6;0;1;0;0;5;12;14;19;74
B954;7;2;22;14;7;2;0;4;9;9;9;18;103
B893;7;4;16;7;8;2;1;4;8;6;13;16;92
B278;5;3;19;10;3;5;2;5;7;7;9;9;84
B228;4;3;20;10;3;2;0;2;7;5;9;11;76
0200E;3;4;21;7;6;5;6;12;8;4;8;13;97
0076;3;4;18;8;3;4;4;8;4;2;7;11;76
1082;13;15;18;17;8;17;8;14;12;8;21;13;164
2331;7;11;18;10;9;10;2;8;7;14;18;24;138
3469A;3;5;18;10;;4;0;0;6;10;19;19;
5973;3;3;16;7;1;0;0;1;4;4;9;16;64
5960;6;3;18;10;0;4;0;3;5;5;8;17;79
5910;2;5;15;9;1;0;0;2;3;9;8;15;69
1111;12;12;21;14;8;19;11;16;14;13;18;16;174
1109;11;12;19;13;9;19;9;17;14;10;19;14;166
8501;;;;;;;2;3;;;;;
8500A;4;5;20;10;4;3;2;7;10;6;9;10;90
5000C;9;7;17;6;2;1;0;0;2;4;8;17;73
4121;2;6;19;9;2;1;0;0;5;7;9;14;74
5402;2;4;18;10;2;1;0;2;5;5;10;17;76
8096;2;4;17;11;6;6;3;10;11;13;15;19;117
1014;11;14;18;15;8;21;11;17;15;8;19;19;176
1024E;12;14;19;15;11;20;9;15;13;11;19;17;175
0367;4;2;20;10;8;7;5;13;12;8;7;9;105
5530E;3;5;19;11;3;1;0;3;4;2;7;14;72
5514;3;8;21;10;3;2;2;5;6;4;7;14;85
3013;1;6;19;7;6;5;4;10;14;13;16;15;116
4642E;3;7;19;9;2;1;0;3;4;10;15;;
9898;3;4;13;9;8;9;2;2;6;7;14;11;88
5270B;2;6;18;12;3;1;0;4;4;5;8;15;78
9170;10;3;17;11;6;11;3;11;6;11;20;19;128
C249I;4;8;7;4;2;0;1;1;7;1;2;9;46
C649I;8;9;13;5;2;3;2;1;9;3;3;4;62
C029O;5;5;10;5;3;3;0;0;8;3;1;9;52
2661;1;3;16;9;9;12;1;4;8;17;20;24;124
1549;5;7;18;7;7;17;5;5;8;17;21;24;141
9771C;1;2;19;9;6;3;7;7;7;8;13;11;93
1505;6;;;;;16;2;;;;;;
3191E;3;4;20;10;2;3;1;3;9;13;19;19;106
3129;2;5;18;9;5;3;2;2;7;11;14;17;95
3196;2;4;22;11;2;4;2;5;7;9;14;18;100
3200;2;4;19;13;3;2;2;5;6;11;14;15;96
3195;2;5;;12;4;2;2;3;8;10;16;16;
3175;2;6;18;10;3;3;2;2;5;6;13;15;85
2462;3;2;5;4;7;5;3;5;8;15;14;12;83
6155A;8;2;17;7;3;0;1;3;2;5;5;13;66
6000A;5;7;18;9;2;2;3;1;4;4;3;11;69
7178I;7;3;20;12;3;2;0;3;3;3;6;6;68
7228;7;6;22;11;4;2;0;5;7;6;5;7;82
7031;11;4;19;11;3;1;1;2;5;4;5;9;75
9263D;9;4;16;10;4;5;3;8;11;8;19;14;111
9262;;3;14;9;3;;2;5;8;7;16;13;
1690A;5;4;15;8;4;;2;3;;;;;
1484C;10;15;19;16;11;19;5;3;15;22;;23;
1495;11;13;17;15;9;19;5;5;13;21;26;22;176
2867;2;3;17;9;5;4;1;5;7;12;17;17;99
C929I;9;9;11;8;3;1;2;0;9;0;2;12;66
C430E;5;5;4;3;0;0;0;4;10;2;0;4;37
C139E;13;12;12;4;4;7;1;7;11;4;9;10;94
C449C;12;10;16;10;6;10;1;8;15;9;6;8;111
C447A;15;12;21;10;6;11;5;7;15;8;8;15;133
C429I;3;3;4;7;2;0;0;2;8;0;0;9;38
2465;2;5;18;9;6;10;2;5;9;13;19;15;113
5796;4;6;18;10;3;4;0;3;5;10;12;14;89
5783;3;5;17;9;4;0;0;2;6;7;9;15;77
2030;6;5;20;12;6;7;5;12;9;20;17;16;135
0016A;0;0;14;8;5;3;4;6;7;4;9;10;70
9981A;1;3;17;7;3;2;5;7;6;8;5;10;74
9381I;1;2;20;;6;8;2;7;9;8;15;11;
8368U;;;;;;;;;;6;;10;
3260B;2;;;;1;1;0;1;5;7;13;;
8416;6;8;20;12;4;3;3;6;8;10;8;9;97
8414A;5;7;20;12;5;3;2;6;9;12;5;12;98
2422;2;2;20;10;6;11;2;5;7;15;17;21;118
2539;2;2;18;11;4;7;2;6;5;15;13;18;103
2614;1;1;19;8;4;5;2;1;5;10;16;15;87
9390;2;3;19;12;8;6;4;10;9;9;12;13;107
9434;4;4;13;11;5;5;3;3;6;11;15;12;92
