Fecha;Estacion;DIAS_GRA
01 -01-2016;1387;11.5
01 -02-2016;1387;11.4
01 -03-2016;1387;11.6
01 -04-2016;1387;13.1
01 -05-2016;1387;16.7
01 -06-2016;1387;20.0
01 -07-2016;1387;22.2
01 -08-2016;1387;22.3
01 -09-2016;1387;20.8
01 -10-2016;1387;17.5
01 -11-2016;1387;13.9
01 -12-2016;1387;11.9
01 -01-2016;9091O;7.5
01 -02-2016;9091O;7.7
01 -03-2016;9091O;8.3
01 -04-2016;9091O;11.4
01 -05-2016;9091O;0
01 -06-2016;9091O;18.3
01 -07-2016;9091O;22.3
01 -08-2016;9091O;24.1
01 -09-2016;9091O;0
01 -10-2016;9091O;0
01 -11-2016;9091O;9.7
01 -12-2016;9091O;7.6
01 -01-2016;2444;0
01 -02-2016;2444;0
01 -03-2016;2444;5.5
01 -04-2016;2444;0
01 -05-2016;2444;14.0
01 -06-2016;2444;0
01 -07-2016;2444;0
01 -08-2016;2444;0
01 -09-2016;2444;20.9
01 -10-2016;2444;14.8
01 -11-2016;2444;0
01 -12-2016;2444;0
01 -01-2016;4452;11.5
01 -02-2016;4452;11.2
01 -03-2016;4452;12.7
01 -04-2016;4452;16.3
01 -05-2016;4452;20.3
01 -06-2016;4452;26.8
01 -07-2016;4452;31.3
01 -08-2016;4452;31.0
01 -09-2016;4452;27.3
01 -10-2016;4452;20.7
01 -11-2016;4452;13.3
01 -12-2016;4452;10.2
01 -01-2016;0200E;9.6
01 -02-2016;0200E;9.2
01 -03-2016;0200E;9.3
01 -04-2016;0200E;13.7
01 -05-2016;0200E;17.3
01 -06-2016;0200E;23.2
01 -07-2016;0200E;26.6
01 -08-2016;0200E;26.2
01 -09-2016;0200E;0
01 -10-2016;0200E;0
01 -11-2016;0200E;0
01 -12-2016;0200E;0
01 -01-2016;2331;5.1
01 -02-2016;2331;5.1
01 -03-2016;2331;5.5
01 -04-2016;2331;9.4
01 -05-2016;2331;15.6
01 -06-2016;2331;23.2
01 -07-2016;2331;27.7
01 -08-2016;2331;27.6
01 -09-2016;2331;22.7
01 -10-2016;2331;15.7
01 -11-2016;2331;7.8
01 -12-2016;2331;5.4
01 -01-2016;3469A;10.7
01 -02-2016;3469A;10.2
01 -03-2016;3469A;11.6
01 -04-2016;3469A;14.7
01 -05-2016;3469A;18.6
01 -06-2016;3469A;26.0
01 -07-2016;3469A;31.2
01 -08-2016;3469A;32.0
01 -09-2016;3469A;28.1
01 -10-2016;3469A;21.0
01 -11-2016;3469A;13.5
01 -12-2016;3469A;10.2
01 -01-2016;8096;7.7
01 -02-2016;8096;7.7
01 -03-2016;8096;0
01 -04-2016;8096;13.4
01 -05-2016;8096;18.0
01 -06-2016;8096;25.8
01 -07-2016;8096;0
01 -08-2016;8096;0
01 -09-2016;8096;24.6
01 -10-2016;8096;0
01 -11-2016;8096;10.3
01 -12-2016;8096;7.3
01 -01-2016;1024E;8.8
01 -02-2016;1024E;8.1
01 -03-2016;1024E;8.6
01 -04-2016;1024E;11.8
01 -05-2016;1024E;16.0
01 -06-2016;1024E;19.4
01 -07-2016;1024E;0
01 -08-2016;1024E;22.1
01 -09-2016;1024E;0
01 -10-2016;1024E;0
01 -11-2016;1024E;9.8
01 -12-2016;1024E;8.7
01 -01-2016;4642E;0
01 -02-2016;4642E;0
01 -03-2016;4642E;0
01 -04-2016;4642E;0
01 -05-2016;4642E;0
01 -06-2016;4642E;0
01 -07-2016;4642E;0
01 -08-2016;4642E;0
01 -09-2016;4642E;0
01 -10-2016;4642E;0
01 -11-2016;4642E;17.4
01 -12-2016;4642E;0
01 -01-2016;1549;7.9
01 -02-2016;1549;0
01 -03-2016;1549;10.2
01 -04-2016;1549;13.6
01 -05-2016;1549;17.4
01 -06-2016;1549;23.6
01 -07-2016;1549;29.3
01 -08-2016;1549;28.6
01 -09-2016;1549;23.6
01 -10-2016;1549;17.9
01 -11-2016;1549;11.1
01 -12-2016;1549;7.6
01 -01-2016;9771C;8.3
01 -02-2016;9771C;9.1
01 -03-2016;9771C;10.3
01 -04-2016;9771C;13.7
01 -05-2016;9771C;0
01 -06-2016;9771C;0
01 -07-2016;9771C;0
01 -08-2016;9771C;0
01 -09-2016;9771C;0
01 -10-2016;9771C;0
01 -11-2016;9771C;0
01 -12-2016;9771C;8.6
01 -01-2016;2462;2.1
01 -02-2016;2462;1.9
01 -03-2016;2462;1.0
01 -04-2016;2462;2.3
01 -05-2016;2462;7.8
01 -06-2016;2462;14.1
01 -07-2016;2462;19.9
01 -08-2016;2462;0
01 -09-2016;2462;0
01 -10-2016;2462;0
01 -11-2016;2462;4.4
01 -12-2016;2462;2.0
01 -01-2016;7178I;13.2
01 -02-2016;7178I;0
01 -03-2016;7178I;16.9
01 -04-2016;7178I;21.8
01 -05-2016;7178I;25.2
01 -06-2016;7178I;31.2
01 -07-2016;7178I;33.2
01 -08-2016;7178I;33.0
01 -09-2016;7178I;30.4
01 -10-2016;7178I;24.0
01 -11-2016;7178I;16.9
01 -12-2016;7178I;12.8
01 -01-2016;1690A;10.8
01 -02-2016;1690A;10.4
01 -03-2016;1690A;11.1
01 -04-2016;1690A;14.6
01 -05-2016;1690A;18.3
01 -06-2016;1690A;23.5
01 -07-2016;1690A;30.1
01 -08-2016;1690A;29.6
01 -09-2016;1690A;24.4
01 -10-2016;1690A;18.3
01 -11-2016;1690A;12.8
01 -12-2016;1690A;9.8
01 -01-2016;1484C;11.4
01 -02-2016;1484C;11.0
01 -03-2016;1484C;11.3
01 -04-2016;1484C;13.1
01 -05-2016;1484C;16.2
01 -06-2016;1484C;19.2
01 -07-2016;1484C;22.1
01 -08-2016;1484C;22.5
01 -09-2016;1484C;20.5
01 -10-2016;1484C;17.6
01 -11-2016;1484C;13.8
01 -12-2016;1484C;11.3
01 -01-2016;2867;8.4
01 -02-2016;2867;8.2
01 -03-2016;2867;9.3
01 -04-2016;2867;13.6
01 -05-2016;2867;18.8
01 -06-2016;2867;26.2
01 -07-2016;2867;31.1
01 -08-2016;2867;30.8
01 -09-2016;2867;0
01 -10-2016;2867;18.5
01 -11-2016;2867;11.3
01 -12-2016;2867;8.2
01 -01-2016;2422;6.5
01 -02-2016;2422;7.0
01 -03-2016;2422;8.7
01 -04-2016;2422;12.8
01 -05-2016;2422;18.6
01 -06-2016;2422;26.5
01 -07-2016;2422;31.2
01 -08-2016;2422;31.4
01 -09-2016;2422;26.1
01 -10-2016;2422;0
01 -11-2016;2422;9.6
01 -12-2016;2422;6.1
01 -01-2016;2539;5.9
01 -02-2016;2539;6.2
01 -03-2016;2539;6.8
01 -04-2016;2539;10.4
01 -05-2016;2539;15.2
01 -06-2016;2539;22.2
01 -07-2016;2539;28.3
01 -08-2016;2539;27.9
01 -09-2016;2539;22.1
01 -10-2016;2539;15.6
01 -11-2016;2539;0
01 -12-2016;2539;5.3
01 -01-2016;9434;10.1
01 -02-2016;9434;0
01 -03-2016;9434;13.7
01 -04-2016;9434;18.2
01 -05-2016;9434;22.2
01 -06-2016;9434;0
01 -07-2016;9434;0
01 -08-2016;9434;0
01 -09-2016;9434;0
01 -10-2016;9434;0
01 -11-2016;9434;0
01 -12-2016;9434;0
