Fecha;Estacion;DIAS_GRA
01-01-2016;1387E;20
01-02-2016;1387E;8
01-03-2016;1387E;19
01-04-2016;1387E;20
01-05-2016;1387E;17
01-06-2016;1387E;21
01-07-2016;1387E;17
01-08-2016;1387E;20
01-09-2016;1387E;23
01-10-2016;1387E;23
01-11-2016;1387E;19
01-12-2016;1387E;19
01-01-2016;1428;10
01-02-2016;1428;9
01-03-2016;1428;14
01-04-2016;1428;16
01-05-2016;1428;14
01-06-2016;1428;18
01-07-2016;1428;19
01-08-2016;1428;17
01-09-2016;1428;19
01-10-2016;1428;19
01-11-2016;1428;14
01-12-2016;1428;0
01-01-2016;8175;24
01-02-2016;8175;16
01-03-2016;8175;20
01-04-2016;8175;17
01-05-2016;8175;19
01-06-2016;8175;19
01-07-2016;8175;9
01-08-2016;8175;12
01-09-2016;8175;22
01-10-2016;8175;20
01-11-2016;8175;16
01-12-2016;8175;19
01-01-2016;8019;23
01-02-2016;8019;20
01-03-2016;8019;21
01-04-2016;8019;17
01-05-2016;8019;20
01-06-2016;8019;20
01-07-2016;8019;7
01-08-2016;8019;13
01-09-2016;8019;22
01-10-2016;8019;18
01-11-2016;8019;16
01-12-2016;8019;17
01-01-2016;6325O;26
01-02-2016;6325O;23
01-03-2016;6325O;19
01-04-2016;6325O;22
01-05-2016;6325O;19
01-06-2016;6325O;16
01-07-2016;6325O;7
01-08-2016;6325O;8
01-09-2016;6325O;12
01-10-2016;6325O;17
01-11-2016;6325O;20
01-12-2016;6325O;17
01-01-2016;9091O;15
01-02-2016;9091O;10
01-03-2016;9091O;13
01-04-2016;9091O;17
01-05-2016;9091O;19
01-06-2016;9091O;12
01-07-2016;9091O;14
01-08-2016;9091O;19
01-09-2016;9091O;16
01-10-2016;9091O;15
01-11-2016;9091O;16
01-12-2016;9091O;12
01-01-2016;1212E;19
01-02-2016;1212E;13
01-03-2016;1212E;16
01-04-2016;1212E;14
01-05-2016;1212E;16
01-06-2016;1212E;17
01-07-2016;1212E;8
01-08-2016;1212E;18
01-09-2016;1212E;16
01-10-2016;1212E;23
01-11-2016;1212E;17
01-12-2016;1212E;0
01-01-2016;1208H;17
01-02-2016;1208H;15
01-03-2016;1208H;0
01-04-2016;1208H;0
01-05-2016;1208H;15
01-06-2016;1208H;15
01-07-2016;1208H;12
01-08-2016;1208H;14
01-09-2016;1208H;19
01-10-2016;1208H;22
01-11-2016;1208H;16
01-12-2016;1208H;0
01-01-2016;1249I;15
01-02-2016;1249I;10
01-03-2016;1249I;12
01-04-2016;1249I;12
01-05-2016;1249I;16
01-06-2016;1249I;11
01-07-2016;1249I;8
01-08-2016;1249I;13
01-09-2016;1249I;15
01-10-2016;1249I;17
01-11-2016;1249I;16
01-12-2016;1249I;19
01-01-2016;4452;16
01-02-2016;4452;15
01-03-2016;4452;16
01-04-2016;4452;22
01-05-2016;4452;12
01-06-2016;4452;15
01-07-2016;4452;5
01-08-2016;4452;6
01-09-2016;4452;11
01-10-2016;4452;15
01-11-2016;4452;14
01-12-2016;4452;10
01-01-2016;B954;26
01-02-2016;B954;20
01-03-2016;B954;24
01-04-2016;B954;20
01-05-2016;B954;22
01-06-2016;B954;15
01-07-2016;B954;10
01-08-2016;B954;15
01-09-2016;B954;23
01-10-2016;B954;21
01-11-2016;B954;22
01-12-2016;B954;19
01-01-2016;B893;24
01-02-2016;B893;15
01-03-2016;B893;19
01-04-2016;B893;20
01-05-2016;B893;19
01-06-2016;B893;18
01-07-2016;B893;11
01-08-2016;B893;15
01-09-2016;B893;21
01-10-2016;B893;21
01-11-2016;B893;22
01-12-2016;B893;21
01-01-2016;B228;0
01-02-2016;B228;0
01-03-2016;B228;0
01-04-2016;B228;0
01-05-2016;B228;0
01-06-2016;B228;0
01-07-2016;B228;0
01-08-2016;B228;0
01-09-2016;B228;0
01-10-2016;B228;0
01-11-2016;B228;21
01-12-2016;B228;18
01-01-2016;B278;26
01-02-2016;B278;21
01-03-2016;B278;27
01-04-2016;B278;22
01-05-2016;B278;23
01-06-2016;B278;18
01-07-2016;B278;9
01-08-2016;B278;14
01-09-2016;B278;26
01-10-2016;B278;21
01-11-2016;B278;22
01-12-2016;B278;20
01-01-2016;0200E;23
