Fecha;Estacion;DIAS_GRA
01 -01-2016;1387;551
01 -02-2016;1387;645
01 -03-2016;1387;0
01 -04-2016;1387;637
01 -05-2016;1387;603
01 -06-2016;1387;538
01 -07-2016;1387;738
01 -08-2016;1387;751
01 -09-2016;1387;507
01 -10-2016;1387;537
01 -11-2016;1387;476
01 -12-2016;1387;474
01 -01-2016;8175;791
01 -02-2016;8175;1232
01 -03-2016;8175;1445
01 -04-2016;8175;1522
01 -05-2016;8175;2119
01 -06-2016;8175;3582
01 -07-2016;8175;4266
01 -08-2016;8175;3446
01 -09-2016;8175;2656
01 -10-2016;8175;1276
01 -11-2016;8175;723
01 -12-2016;8175;304
01 -01-2016;8025;836
01 -02-2016;8025;1061
01 -03-2016;8025;1081
01 -04-2016;8025;965
01 -05-2016;8025;1141
01 -06-2016;8025;0
01 -07-2016;8025;0
01 -08-2016;8025;1172
01 -09-2016;8025;1143
01 -10-2016;8025;0
01 -11-2016;8025;723
01 -12-2016;8025;422
01 -01-2016;6325O;867
01 -02-2016;6325O;1182
01 -03-2016;6325O;1255
01 -04-2016;6325O;1084
01 -05-2016;6325O;1452
01 -06-2016;6325O;1386
01 -07-2016;6325O;0
01 -08-2016;6325O;1623
01 -09-2016;6325O;1505
01 -10-2016;6325O;999
01 -11-2016;6325O;975
01 -12-2016;6325O;804
01 -01-2016;9091O;527
01 -02-2016;9091O;563
01 -03-2016;9091O;786
01 -04-2016;9091O;906
01 -05-2016;9091O;1306
01 -06-2016;9091O;1193
01 -07-2016;9091O;1544
01 -08-2016;9091O;2086
01 -09-2016;9091O;1445
01 -10-2016;9091O;767
01 -11-2016;9091O;0
01 -12-2016;9091O;215
01 -01-2016;1212E;759
01 -02-2016;1212E;692
01 -03-2016;1212E;676
01 -04-2016;1212E;699
01 -05-2016;1212E;793
01 -06-2016;1212E;753
01 -07-2016;1212E;837
01 -08-2016;1212E;957
01 -09-2016;1212E;632
01 -10-2016;1212E;578
01 -11-2016;1212E;520
01 -12-2016;1212E;522
01 -01-2016;1208H;1176
01 -02-2016;1208H;1158
01 -03-2016;1208H;1047
01 -04-2016;1208H;719
01 -05-2016;1208H;791
01 -06-2016;1208H;769
