01 -01-2016;1387;0
01 -02-2016;1387;0
01 -03-2016;1387;0
01 -04-2016;1387;0
01 -05-2016;1387;0
01 -06-2016;1387;0
01 -07-2016;1387;0
01 -08-2016;1387;0
01 -09-2016;1387;0
01 -10-2016;1387;0
01 -11-2016;1387;0
01 -12-2016;1387;0
01 -01-2016;1387E;0
01 -02-2016;1387E;0
01 -03-2016;1387E;0
01 -04-2016;1387E;0
01 -05-2016;1387E;0
01 -06-2016;1387E;0
01 -07-2016;1387E;0
01 -08-2016;1387E;0
01 -09-2016;1387E;0
01 -10-2016;1387E;0
01 -11-2016;1387E;0
01 -12-2016;1387E;0
01 -01-2016;1428;0
01 -02-2016;1428;1
01 -03-2016;1428;0
01 -04-2016;1428;0
01 -05-2016;1428;0
01 -06-2016;1428;0
01 -07-2016;1428;0
01 -08-2016;1428;0
01 -09-2016;1428;0
01 -10-2016;1428;0
01 -11-2016;1428;0
01 -12-2016;1428;0
01 -01-2016;8175;0
01 -02-2016;8175;1
01 -03-2016;8175;0
01 -04-2016;8175;0
01 -05-2016;8175;0
01 -06-2016;8175;0
01 -07-2016;8175;0
01 -08-2016;8175;0
01 -09-2016;8175;0
01 -10-2016;8175;0
01 -11-2016;8175;0
01 -12-2016;8175;0
01 -01-2016;8178D;0
01 -02-2016;8178D;0
01 -03-2016;8178D;0
01 -04-2016;8178D;0
01 -05-2016;8178D;0
01 -06-2016;8178D;0
01 -07-2016;8178D;0
01 -08-2016;8178D;0
01 -09-2016;8178D;0
01 -10-2016;8178D;0
01 -11-2016;8178D;0
01 -12-2016;8178D;0
01 -01-2016;8025;0
01 -02-2016;8025;0
01 -03-2016;8025;0
01 -04-2016;8025;0
01 -05-2016;8025;0
01 -06-2016;8025;0
01 -07-2016;8025;0
01 -08-2016;8025;0
01 -09-2016;8025;0
01 -10-2016;8025;0
01 -11-2016;8025;0
01 -12-2016;8025;0
01 -01-2016;8019;0
01 -02-2016;8019;0
01 -03-2016;8019;0
01 -04-2016;8019;0
01 -05-2016;8019;0
01 -06-2016;8019;0
01 -07-2016;8019;0
01 -08-2016;8019;0
01 -09-2016;8019;0
01 -10-2016;8019;0
01 -11-2016;8019;0
01 -12-2016;8019;0
01 -01-2016;6325O;0
01 -02-2016;6325O;0
01 -03-2016;6325O;0
01 -04-2016;6325O;0
01 -05-2016;6325O;0
01 -06-2016;6325O;0
01 -07-2016;6325O;0
01 -08-2016;6325O;0
01 -09-2016;6325O;0
01 -10-2016;6325O;0
01 -11-2016;6325O;0
01 -12-2016;6325O;0
01 -01-2016;9091O;1
01 -02-2016;9091O;5
01 -03-2016;9091O;2
01 -04-2016;9091O;0
01 -05-2016;9091O;0
01 -06-2016;9091O;0
01 -07-2016;9091O;0
01 -08-2016;9091O;0
01 -09-2016;9091O;0
01 -10-2016;9091O;0
01 -11-2016;9091O;1
01 -12-2016;9091O;0
01 -01-2016;1212E;0
01 -02-2016;1212E;0
01 -03-2016;1212E;0
01 -04-2016;1212E;0
01 -05-2016;1212E;0
01 -06-2016;1212E;0
01 -07-2016;1212E;0
01 -08-2016;1212E;0
01 -09-2016;1212E;0
01 -10-2016;1212E;0
01 -11-2016;1212E;0
01 -12-2016;1212E;0
01 -01-2016;1208H;0
01 -02-2016;1208H;0
01 -03-2016;1208H;0
01 -04-2016;1208H;0
01 -05-2016;1208H;0
01 -06-2016;1208H;0
01 -07-2016;1208H;0
01 -08-2016;1208H;0
01 -09-2016;1208H;0
01 -10-2016;1208H;0
01 -11-2016;1208H;0
01 -12-2016;1208H;0
01 -01-2016;1249I;0
01 -02-2016;1249I;0
01 -03-2016;1249I;0
01 -04-2016;1249I;0
01 -05-2016;1249I;0
01 -06-2016;1249I;0
01 -07-2016;1249I;0
01 -08-2016;1249I;0
01 -09-2016;1249I;0
01 -10-2016;1249I;0
01 -11-2016;1249I;0
01 -12-2016;1249I;0
01 -01-2016;2444;1
01 -02-2016;2444;7
01 -03-2016;2444;4
01 -04-2016;2444;0
01 -05-2016;2444;0
01 -06-2016;2444;0
01 -07-2016;2444;0
01 -08-2016;2444;0
01 -09-2016;2444;0
01 -10-2016;2444;0
01 -11-2016;2444;4
01 -12-2016;2444;0
01 -01-2016;4452;0
01 -02-2016;4452;0
01 -03-2016;4452;0
01 -04-2016;4452;0
01 -05-2016;4452;0
01 -06-2016;4452;0
01 -07-2016;4452;0
01 -08-2016;4452;0
01 -09-2016;4452;0
01 -10-2016;4452;0
01 -11-2016;4452;0
01 -12-2016;4452;0
01 -01-2016;B954;0
01 -02-2016;B954;0
01 -03-2016;B954;0
01 -04-2016;B954;0
01 -05-2016;B954;0
01 -06-2016;B954;0
01 -07-2016;B954;0
01 -08-2016;B954;0
01 -09-2016;B954;0
01 -10-2016;B954;0
01 -11-2016;B954;0
01 -12-2016;B954;0
01 -01-2016;B893;0
01 -02-2016;B893;0
01 -03-2016;B893;0
01 -04-2016;B893;0
01 -05-2016;B893;0
01 -06-2016;B893;0
