FECHA;INDICATIVO;LLUVIA_sup_30mm
01-01-2019;1387;0
01-02-2019;1387;0
01-03-2019;1387;0
01-04-2019;1387;0
01-05-2019;1387;1
01-06-2019;1387;0
01-07-2019;1387;0
01-08-2019;1387;0
01-09-2019;1387;0
01-10-2019;1387;0
01-11-2019;1387;0
01-12-2019;1387;1
01-01-2019;1387E;0
01-02-2019;1387E;0
01-03-2019;1387E;0
01-04-2019;1387E;0
01-05-2019;1387E;0
01-06-2019;1387E;0
01-07-2019;1387E;0
01-08-2019;1387E;0
01-09-2019;1387E;0
01-10-2019;1387E;0
01-11-2019;1387E;0
01-12-2019;1387E;2
01-01-2019;1428;0
01-02-2019;1428;0
01-03-2019;1428;1
01-04-2019;1428;0
01-05-2019;1428;0
01-06-2019;1428;0
01-07-2019;1428;0
01-08-2019;1428;1
01-09-2019;1428;0
01-10-2019;1428;2
01-11-2019;1428;4
01-12-2019;1428;4
01-01-2019;8175;0
01-02-2019;8175;0
01-03-2019;8175;0
01-04-2019;8175;1
01-05-2019;8175;0
01-06-2019;8175;0
01-07-2019;8175;0
01-08-2019;8175;0
01-09-2019;8175;0
01-10-2019;8175;0
01-11-2019;8175;0
01-12-2019;8175;0
01-01-2019;8178D;0
01-02-2019;8178D;0
01-03-2019;8178D;0
01-04-2019;8178D;1
01-05-2019;8178D;0
01-06-2019;8178D;0
01-07-2019;8178D;0
01-08-2019;8178D;0
01-09-2019;8178D;0
01-10-2019;8178D;0
01-11-2019;8178D;0
01-12-2019;8178D;0
01-01-2019;8025;0
01-02-2019;8025;0
01-03-2019;8025;0
01-04-2019;8025;2
01-05-2019;8025;0
01-06-2019;8025;0
01-07-2019;8025;0
01-08-2019;8025;1
01-09-2019;8025;2
01-10-2019;8025;0
01-11-2019;8025;0
01-12-2019;8025;0
01-01-2019;8019;0
01-02-2019;8019;0
01-03-2019;8019;0
01-04-2019;8019;2
01-05-2019;8019;0
01-06-2019;8019;0
01-07-2019;8019;0
01-08-2019;8019;1
01-09-2019;8019;2
01-10-2019;8019;1
01-11-2019;8019;0
01-12-2019;8019;0
01-01-2019;6325O;0
01-02-2019;6325O;0
01-03-2019;6325O;0
01-04-2019;6325O;0
01-05-2019;6325O;0
01-06-2019;6325O;0
01-07-2019;6325O;0
01-08-2019;6325O;0
01-09-2019;6325O;1
01-10-2019;6325O;1
01-11-2019;6325O;0
01-12-2019;6325O;0
01-01-2019;9091O;2
01-02-2019;9091O;1
01-03-2019;9091O;0
01-04-2019;9091O;0
01-05-2019;9091O;0
01-06-2019;9091O;0
01-07-2019;9091O;0
01-08-2019;9091O;0
01-09-2019;9091O;0
01-10-2019;9091O;0
01-11-2019;9091O;1
01-12-2019;9091O;1
01-01-2019;1212E;2
01-02-2019;1212E;0
01-03-2019;1212E;0
01-04-2019;1212E;0
01-05-2019;1212E;1
01-06-2019;1212E;0
01-07-2019;1212E;0
01-08-2019;1212E;0
01-09-2019;1212E;0
01-10-2019;1212E;1
01-11-2019;1212E;2
01-12-2019;1212E;2
01-01-2019;1208H;2
01-02-2019;1208H;0
01-03-2019;1208H;0
01-04-2019;1208H;0
01-05-2019;1208H;1
01-06-2019;1208H;0
01-07-2019;1208H;0
01-08-2019;1208H;0
01-09-2019;1208H;0
01-10-2019;1208H;2
01-11-2019;1208H;3
01-12-2019;1208H;1
01-01-2019;1249I;3
01-02-2019;1249I;0
01-03-2019;1249I;0
01-04-2019;1249I;0
01-05-2019;1249I;0
01-06-2019;1249I;0
01-07-2019;1249I;0
01-08-2019;1249I;0
01-09-2019;1249I;0
01-10-2019;1249I;1
01-11-2019;1249I;4
01-12-2019;1249I;1
01-01-2019;2444;0
01-02-2019;2444;0
01-03-2019;2444;0
01-04-2019;2444;0
01-05-2019;2444;0
01-06-2019;2444;0
01-07-2019;2444;0
01-08-2019;2444;0
01-09-2019;2444;0
01-10-2019;2444;0
01-11-2019;2444;0
01-12-2019;2444;0
01-01-2019;4452;0
01-02-2019;4452;0
01-03-2019;4452;0
01-04-2019;4452;0
01-05-2019;4452;0
01-06-2019;4452;0
01-07-2019;4452;0
01-08-2019;4452;0
01-09-2019;4452;0
01-10-2019;4452;0
01-11-2019;4452;0
01-12-2019;4452;0
01-01-2019;B954;0
01-02-2019;B954;0
01-03-2019;B954;0
01-04-2019;B954;0
01-05-2019;B954;0
01-06-2019;B954;0
01-07-2019;B954;0
01-08-2019;B954;1
01-09-2019;B954;1
01-10-2019;B954;1
01-11-2019;B954;0
01-12-2019;B954;1
01-01-2019;B893;1
01-02-2019;B893;0
01-03-2019;B893;0
01-04-2019;B893;0
01-05-2019;B893;0
01-06-2019;B893;0
01-07-2019;B893;0
01-08-2019;B893;0
01-09-2019;B893;1
01-10-2019;B893;0
01-11-2019;B893;1
01-12-2019;B893;1
01-01-2019;B228;0
01-02-2019;B228;0
01-03-2019;B228;0
01-04-2019;B228;0
01-05-2019;B228;0
01-06-2019;B228;0
01-07-2019;B228;0
01-08-2019;B228;0
01-09-2019;B228;0
01-10-2019;B228;2
01-11-2019;B228;0
01-12-2019;B228;1
01-01-2019;B278;0
01-02-2019;B278;0
01-03-2019;B278;0
01-04-2019;B278;0
01-05-2019;B278;0
01-06-2019;B278;0
01-07-2019;B278;0
01-08-2019;B278;0
01-09-2019;B278;0
01-10-2019;B278;2
01-11-2019;B278;0
01-12-2019;B278;2
01-01-2019;0200E;0
01-02-2019;0200E;0
01-03-2019;0200E;0
01-04-2019;0200E;0
01-05-2019;0200E;1
01-06-2019;0200E;0
01-07-2019;0200E;1
01-08-2019;0200E;0
01-09-2019;0200E;1
01-10-2019;0200E;1
01-11-2019;0200E;0
01-12-2019;0200E;1
01-01-2019;0076;0
01-02-2019;0076;0
01-03-2019;0076;0
01-04-2019;0076;0
01-05-2019;0076;1
01-06-2019;0076;1
01-07-2019;0076;1
01-08-2019;0076;1
01-09-2019;0076;2
01-10-2019;0076;1
01-11-2019;0076;0
01-12-2019;0076;1
01-01-2019;1082;2
01-02-2019;1082;0
01-03-2019;1082;0
01-04-2019;1082;0
01-05-2019;1082;0
01-06-2019;1082;0
01-07-2019;1082;1
01-08-2019;1082;0
01-09-2019;1082;0
01-10-2019;1082;0
01-11-2019;1082;3
01-12-2019;1082;0
01-01-2019;2331;0
01-02-2019;2331;0
01-03-2019;2331;0
01-04-2019;2331;0
01-05-2019;2331;0
01-06-2019;2331;0
01-07-2019;2331;1
01-08-2019;2331;0
01-09-2019;2331;0
01-10-2019;2331;0
01-11-2019;2331;0
01-12-2019;2331;1
01-01-2019;3469A;0
01-02-2019;3469A;0
01-03-2019;3469A;0
01-04-2019;3469A;0
01-05-2019;3469A;0
01-06-2019;3469A;0
01-07-2019;3469A;0
01-08-2019;3469A;0
01-09-2019;3469A;0
01-10-2019;3469A;0
01-11-2019;3469A;0
01-12-2019;3469A;1
01-01-2019;5973;0
01-02-2019;5973;0
01-03-2019;5973;0
01-04-2019;5973;0
01-05-2019;5973;0
01-06-2019;5973;0
01-07-2019;5973;0
01-08-2019;5973;0
01-09-2019;5973;0
01-10-2019;5973;0
01-11-2019;5973;0
01-12-2019;5973;0
01-01-2019;5960;0
01-02-2019;5960;0
01-03-2019;5960;0
01-04-2019;5960;0
01-05-2019;5960;0
01-06-2019;5960;0
01-07-2019;5960;0
01-08-2019;5960;0
01-09-2019;5960;0
01-10-2019;5960;0
01-11-2019;5960;0
01-12-2019;5960;1
01-01-2019;5910;0
01-02-2019;5910;0
01-03-2019;5910;0
01-04-2019;5910;0
01-05-2019;5910;0
01-06-2019;5910;0
01-07-2019;5910;0
01-08-2019;5910;0
01-09-2019;5910;0
01-10-2019;5910;0
01-11-2019;5910;0
01-12-2019;5910;0
01-01-2019;6001;0
01-02-2019;6001;0
01-03-2019;6001;0
01-04-2019;6001;0
01-05-2019;6001;0
01-06-2019;6001;0
01-07-2019;6001;0
01-08-2019;6001;0
01-09-2019;6001;0
01-10-2019;6001;0
01-11-2019;6001;0
01-12-2019;6001;0
01-01-2019;1111;1
01-02-2019;1111;0
01-03-2019;1111;0
01-04-2019;1111;1
01-05-2019;1111;0
01-06-2019;1111;0
01-07-2019;1111;0
01-08-2019;1111;0
01-09-2019;1111;0
01-10-2019;1111;3
01-11-2019;1111;1
01-12-2019;1111;1
01-01-2019;1109;2
01-02-2019;1109;0
01-03-2019;1109;0
01-04-2019;1109;1
01-05-2019;1109;0
01-06-2019;1109;0
01-07-2019;1109;0
01-08-2019;1109;0
01-09-2019;1109;0
01-10-2019;1109;3
01-11-2019;1109;2
01-12-2019;1109;1
01-01-2019;8500A;0
01-02-2019;8500A;0
01-03-2019;8500A;0
01-04-2019;8500A;0
01-05-2019;8500A;0
01-06-2019;8500A;0
01-07-2019;8500A;0
01-08-2019;8500A;0
01-09-2019;8500A;0
01-10-2019;8500A;0
01-11-2019;8500A;0
01-12-2019;8500A;1
01-01-2019;5000C;0
01-02-2019;5000C;1
01-03-2019;5000C;0
01-04-2019;5000C;1
01-05-2019;5000C;0
01-06-2019;5000C;0
01-07-2019;5000C;0
01-08-2019;5000C;0
01-09-2019;5000C;0
01-10-2019;5000C;0
01-11-2019;5000C;0
01-12-2019;5000C;1
01-01-2019;4121;0
01-02-2019;4121;0
01-03-2019;4121;0
01-04-2019;4121;0
01-05-2019;4121;0
01-06-2019;4121;0
01-07-2019;4121;0
01-08-2019;4121;0
01-09-2019;4121;0
01-10-2019;4121;0
01-11-2019;4121;0
01-12-2019;4121;0
01-01-2019;5402;0
01-02-2019;5402;0
01-03-2019;5402;0
01-04-2019;5402;0
