FECHA;INDICATIVO;TEMP_inf_0
01-01-2016;1387;0
01-02-2016;1387;0
01-03-2016;1387;0
01-04-2016;1387;0
01-05-2016;1387;0
01-06-2016;1387;0
01-07-2016;1387;0
01-08-2016;1387;0
01-09-2016;1387;0
01-10-2016;1387;0
01-11-2016;1387;0
01-12-2016;1387;0
01-01-2016;1387E;1
01-02-2016;1387E;1
01-03-2016;1387E;0
01-04-2016;1387E;0
01-05-2016;1387E;0
01-06-2016;1387E;0
01-07-2016;1387E;0
01-08-2016;1387E;0
01-09-2016;1387E;0
01-10-2016;1387E;0
01-11-2016;1387E;0
01-12-2016;1387E;4
01-01-2016;1428;1
01-02-2016;1428;0
01-03-2016;1428;0
01-04-2016;1428;1
01-05-2016;1428;0
01-06-2016;1428;0
01-07-2016;1428;0
01-08-2016;1428;0
01-09-2016;1428;0
01-10-2016;1428;0
01-11-2016;1428;0
01-12-2016;1428;2
01-01-2016;8175;6
01-02-2016;8175;5
01-03-2016;8175;7
01-04-2016;8175;0
01-05-2016;8175;0
01-06-2016;8175;0
01-07-2016;8175;0
01-08-2016;8175;0
01-09-2016;8175;0
01-10-2016;8175;0
01-11-2016;8175;5
01-12-2016;8175;10
01-01-2016;8178D;3
01-02-2016;8178D;6
01-03-2016;8178D;2
01-04-2016;8178D;0
01-05-2016;8178D;0
01-06-2016;8178D;0
01-07-2016;8178D;0
01-08-2016;8178D;0
01-09-2016;8178D;0
01-10-2016;8178D;0
01-11-2016;8178D;0
01-12-2016;8178D;5
01-01-2016;8025;0
01-02-2016;8025;0
01-03-2016;8025;0
01-04-2016;8025;0
01-05-2016;8025;0
01-06-2016;8025;0
01-07-2016;8025;0
01-08-2016;8025;0
01-09-2016;8025;0
01-10-2016;8025;0
01-11-2016;8025;0
01-12-2016;8025;0
01-01-2016;8019;1
01-02-2016;8019;0
01-03-2016;8019;0
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;0
01-07-2016;8019;0
01-08-2016;8019;0
01-09-2016;8019;0
01-10-2016;8019;0
01-11-2016;8019;0
01-12-2016;8019;0
01-01-2016;6325O;0
01-02-2016;6325O;0
01-03-2016;6325O;0
01-04-2016;6325O;0
01-05-2016;6325O;0
01-06-2016;6325O;0
01-07-2016;6325O;0
01-08-2016;6325O;0
01-09-2016;6325O;0
01-10-2016;6325O;0
01-11-2016;6325O;0
01-12-2016;6325O;0
01-01-2016;9091O;9
01-02-2016;9091O;8
01-03-2016;9091O;4
01-04-2016;9091O;2
01-05-2016;9091O;1
01-06-2016;9091O;0
01-07-2016;9091O;0
01-08-2016;9091O;0
01-09-2016;9091O;0
01-10-2016;9091O;2
01-11-2016;9091O;3
01-12-2016;9091O;11
01-01-2016;1212E;0
01-02-2016;1212E;0
01-03-2016;1212E;0
01-04-2016;1212E;0
01-05-2016;1212E;0
01-06-2016;1212E;0
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;0
01-12-2016;1212E;0
01-01-2016;1208H;0
01-02-2016;1208H;0
01-03-2016;1208H;0
01-04-2016;1208H;0
01-05-2016;1208H;0
01-06-2016;1208H;0
01-07-2016;1208H;0
01-08-2016;1208H;0
01-09-2016;1208H;0
01-10-2016;1208H;0
01-11-2016;1208H;0
01-12-2016;1208H;0
01-01-2016;1249I;0
01-02-2016;1249I;0
01-03-2016;1249I;0
01-04-2016;1249I;0
01-05-2016;1249I;0
01-06-2016;1249I;0
01-07-2016;1249I;0
01-08-2016;1249I;0
01-09-2016;1249I;0
01-10-2016;1249I;0
01-11-2016;1249I;0
01-12-2016;1249I;1
01-01-2016;2444;9
01-02-2016;2444;14
01-03-2016;2444;18
01-04-2016;2444;4
01-05-2016;2444;1
01-06-2016;2444;0
01-07-2016;2444;0
01-08-2016;2444;0
01-09-2016;2444;0
01-10-2016;2444;0
01-11-2016;2444;7
01-12-2016;2444;14
01-01-2016;4452;0
01-02-2016;4452;1
01-03-2016;4452;0
01-04-2016;4452;0
01-05-2016;4452;0
01-06-2016;4452;0
01-07-2016;4452;0
01-08-2016;4452;0
01-09-2016;4452;0
01-10-2016;4452;0
01-11-2016;4452;0
01-12-2016;4452;2
01-01-2016;B954;0
01-02-2016;B954;0
01-03-2016;B954;0
01-04-2016;B954;0
01-05-2016;B954;0
01-06-2016;B954;0
01-07-2016;B954;0
01-08-2016;B954;0
01-09-2016;B954;0
01-10-2016;B954;0
01-11-2016;B954;0
01-12-2016;B954;0
01-01-2016;B893;0
01-02-2016;B893;0
01-03-2016;B893;0
01-04-2016;B893;0
01-05-2016;B893;0
01-06-2016;B893;0
01-07-2016;B893;0
01-08-2016;B893;0
01-09-2016;B893;0
01-10-2016;B893;0
01-11-2016;B893;0
01-12-2016;B893;0
01-01-2016;B228;0
01-02-2016;B228;0
01-03-2016;B228;0
01-04-2016;B228;0
01-05-2016;B228;0
01-06-2016;B228;0
01-07-2016;B228;0
01-08-2016;B228;0
