FECHA;INDICATIVO;TEMP_sup_30
01-01-2016;1387;0
01-02-2016;1387;0
01-03-2016;1387;0
01-04-2016;1387;0
01-05-2016;1387;0
01-06-2016;1387;0
01-07-2016;1387;1
01-08-2016;1387;1
01-09-2016;1387;0
01-10-2016;1387;0
01-11-2016;1387;0
01-12-2016;1387;0
01-01-2016;1387E;0
01-02-2016;1387E;0
01-03-2016;1387E;0
01-04-2016;1387E;0
01-05-2016;1387E;0
01-06-2016;1387E;0
01-07-2016;1387E;2
01-08-2016;1387E;2
01-09-2016;1387E;0
01-10-2016;1387E;0
01-11-2016;1387E;0
01-12-2016;1387E;0
01-01-2016;1428;0
01-02-2016;1428;0
01-03-2016;1428;0
01-04-2016;1428;0
01-05-2016;1428;1
01-06-2016;1428;0
01-07-2016;1428;7
01-08-2016;1428;11
01-09-2016;1428;6
01-10-2016;1428;0
01-11-2016;1428;0
01-12-2016;1428;0
01-01-2016;8175;0
01-02-2016;8175;0
01-03-2016;8175;0
01-04-2016;8175;0
01-05-2016;8175;0
01-06-2016;8175;22
01-07-2016;8175;29
01-08-2016;8175;27
01-09-2016;8175;12
01-10-2016;8175;0
01-11-2016;8175;0
01-12-2016;8175;0
01-01-2016;8178D;0
01-02-2016;8178D;0
01-03-2016;8178D;0
01-04-2016;8178D;0
01-05-2016;8178D;0
01-06-2016;8178D;23
01-07-2016;8178D;30
01-08-2016;8178D;28
01-09-2016;8178D;14
01-10-2016;8178D;1
01-11-2016;8178D;0
01-12-2016;8178D;0
01-01-2016;8025;0
01-02-2016;8025;0
01-03-2016;8025;0
01-04-2016;8025;0
01-05-2016;8025;1
01-06-2016;8025;5
01-07-2016;8025;23
01-08-2016;8025;18
01-09-2016;8025;10
01-10-2016;8025;1
01-11-2016;8025;0
01-12-2016;8025;0
01-01-2016;8019;0
01-02-2016;8019;0
01-03-2016;8019;0
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;10
01-07-2016;8019;0
01-08-2016;8019;22
01-09-2016;8019;0
01-10-2016;8019;2
01-11-2016;8019;0
01-12-2016;8019;0
01-01-2016;6325O;0
01-02-2016;6325O;0
01-03-2016;6325O;0
01-04-2016;6325O;0
01-05-2016;6325O;0
01-06-2016;6325O;7
01-07-2016;6325O;24
01-08-2016;6325O;22
01-09-2016;6325O;13
01-10-2016;6325O;3
01-11-2016;6325O;0
01-12-2016;6325O;0
01-01-2016;9091O;0
01-02-2016;9091O;0
01-03-2016;9091O;0
01-04-2016;9091O;0
01-05-2016;9091O;0
01-06-2016;9091O;4
01-07-2016;9091O;7
01-08-2016;9091O;14
01-09-2016;9091O;9
01-10-2016;9091O;0
01-11-2016;9091O;0
01-12-2016;9091O;0
01-01-2016;1212E;0
01-02-2016;1212E;0
01-03-2016;1212E;0
01-04-2016;1212E;0
01-05-2016;1212E;0
01-06-2016;1212E;0
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;0
01-12-2016;1212E;0
01-01-2016;1208H;0
01-02-2016;1208H;0
01-03-2016;1208H;0
01-04-2016;1208H;0
01-05-2016;1208H;0
01-06-2016;1208H;0
01-07-2016;1208H;0
01-08-2016;1208H;0
01-09-2016;1208H;0
01-10-2016;1208H;0
01-11-2016;1208H;0
01-12-2016;1208H;0
01-01-2016;1249I;0
01-02-2016;1249I;0
01-03-2016;1249I;0
01-04-2016;1249I;0
01-05-2016;1249I;0
01-06-2016;1249I;0
01-07-2016;1249I;1
01-08-2016;1249I;2
01-09-2016;1249I;2
01-10-2016;1249I;0
01-11-2016;1249I;0
01-12-2016;1249I;0
01-01-2016;2444;0
01-02-2016;2444;0
01-03-2016;2444;0
01-04-2016;2444;0
01-05-2016;2444;0
01-06-2016;2444;8
01-07-2016;2444;18
01-08-2016;2444;16
01-09-2016;2444;7
01-10-2016;2444;0
01-11-2016;2444;0
01-12-2016;2444;0
01-01-2016;4452;0
01-02-2016;4452;0
01-03-2016;4452;0
01-04-2016;4452;0
01-05-2016;4452;3
01-06-2016;4452;22
01-07-2016;4452;31
01-08-2016;4452;31
01-09-2016;4452;23
01-10-2016;4452;6
01-11-2016;4452;0
01-12-2016;4452;0
01-01-2016;B954;0
01-02-2016;B954;0
01-03-2016;B954;0
01-04-2016;B954;0
01-05-2016;B954;0
01-06-2016;B954;0
01-07-2016;B954;13
01-08-2016;B954;5
01-09-2016;B954;8
01-10-2016;B954;0
01-11-2016;B954;0
01-12-2016;B954;0
01-01-2016;B893;0
01-02-2016;B893;0
01-03-2016;B893;0
01-04-2016;B893;0
01-05-2016;B893;0
01-06-2016;B893;6
01-07-2016;B893;0
01-08-2016;B893;16
01-09-2016;B893;11
01-10-2016;B893;1
01-11-2016;B893;0
01-12-2016;B893;0
01-01-2016;B228;0
01-02-2016;B228;0
01-03-2016;B228;0
01-04-2016;B228;0
01-05-2016;B228;0
01-06-2016;B228;2
01-07-2016;B228;19
01-08-2016;B228;13
