Fecha;Estacion;DIAS_GRA
01-01-2016;1387;11.0
01-02-2016;1387;10.8
01-03-2016;1387;12.1
01-04-2016;1387;13.5
01-05-2016;1387;16.9
01-06-2016;1387;20.2
01-07-2016;1387;23.3
01-08-2016;1387;23.8
01-09-2016;1387;22.0
01-10-2016;1387;18.0
01-11-2016;1387;13.6
01-12-2016;1387;11.6
01-01-2016;9091O;7.6
01-02-2016;9091O;7.9
01-03-2016;9091O;8.9
01-04-2016;9091O;11.9
01-05-2016;9091O;0
01-06-2016;9091O;19.4
01-07-2016;9091O;24.1
01-08-2016;9091O;26.2
01-09-2016;9091O;0
01-10-2016;9091O;0
01-11-2016;9091O;9.7
01-12-2016;9091O;7.6
01-01-2016;2444;0
01-02-2016;2444;0
01-03-2016;2444;5.7
01-04-2016;2444;0
01-05-2016;2444;14.7
01-06-2016;2444;0
01-07-2016;2444;0
01-08-2016;2444;0
01-09-2016;2444;21.6
01-10-2016;2444;14.9
01-11-2016;2444;0
01-12-2016;2444;0
01-01-2016;4452;11.1
01-02-2016;4452;11.0
01-03-2016;4452;12.7
01-04-2016;4452;16.6
01-05-2016;4452;20.5
01-06-2016;4452;0
01-07-2016;4452;0
01-08-2016;4452;31.3
01-09-2016;4452;27.9
01-10-2016;4452;21.2
01-11-2016;4452;13.2
01-12-2016;4452;10.0
01-01-2016;0200E;8.9
01-02-2016;0200E;8.5
01-03-2016;0200E;9.4
01-04-2016;0200E;13.9
01-05-2016;0200E;18.3
01-06-2016;0200E;24.8
01-07-2016;0200E;28.0
01-08-2016;0200E;27.0
01-09-2016;0200E;0
01-10-2016;0200E;0
01-11-2016;0200E;0
01-12-2016;0200E;0
01-01-2016;2331;4.8
01-02-2016;2331;4.9
01-03-2016;2331;5.5
01-04-2016;2331;9.5
01-05-2016;2331;16.1
01-06-2016;2331;24.1
01-07-2016;2331;28.4
01-08-2016;2331;28.2
01-09-2016;2331;22.6
01-10-2016;2331;15.1
01-11-2016;2331;7.2
01-12-2016;2331;5.0
01-01-2016;3469A;10.6
01-02-2016;3469A;10.3
01-03-2016;3469A;12.3
01-04-2016;3469A;15.7
01-05-2016;3469A;19.8
01-06-2016;3469A;28.2
01-07-2016;3469A;33.0
01-08-2016;3469A;33.6
01-09-2016;3469A;28.5
01-10-2016;3469A;21.0
01-11-2016;3469A;12.9
01-12-2016;3469A;9.7
01-01-2016;8096;7.9
01-02-2016;8096;7.7
01-03-2016;8096;0
01-04-2016;8096;13.8
01-05-2016;8096;18.9
01-06-2016;8096;27.2
01-07-2016;8096;0
01-08-2016;8096;0
01-09-2016;8096;25.0
01-10-2016;8096;0
01-11-2016;8096;10.0
01-12-2016;8096;7.3
01-01-2016;1024E;9.1
01-02-2016;1024E;8.4
01-03-2016;1024E;9.2
01-04-2016;1024E;12.5
01-05-2016;1024E;17.0
01-06-2016;1024E;20.2
01-07-2016;1024E;0
01-08-2016;1024E;22.8
01-09-2016;1024E;0
01-10-2016;1024E;0
01-11-2016;1024E;9.9
01-12-2016;1024E;9.1
01-01-2016;1484C;10.6
01-02-2016;1484C;10.1
01-03-2016;1484C;10.5
01-04-2016;1484C;12.6
01-05-2016;1484C;15.7
01-06-2016;1484C;18.7
01-07-2016;1484C;21.4
01-08-2016;1484C;21.6
01-09-2016;1484C;19.6
01-10-2016;1484C;16.7
01-11-2016;1484C;12.7
01-12-2016;1484C;10.3
01-01-2016;2867;8.2
01-02-2016;2867;8.1
01-03-2016;2867;9.7
01-04-2016;2867;14.1
01-05-2016;2867;19.4
01-06-2016;2867;27.3
01-07-2016;2867;32.1
01-08-2016;2867;31.9
01-09-2016;2867;0
01-10-2016;2867;18.4
01-11-2016;2867;10.7
01-12-2016;2867;7.7
01-01-2016;2422;5.9
01-02-2016;2422;6.5
01-03-2016;2422;8.5
01-04-2016;2422;12.6
01-05-2016;2422;18.8
01-06-2016;2422;27.1
01-07-2016;2422;31.9
01-08-2016;2422;31.9
01-09-2016;2422;25.8
01-10-2016;2422;0
01-11-2016;2422;8.7
01-12-2016;2422;5.3
01-01-2016;2539;5.7
01-02-2016;2539;6.0
01-03-2016;2539;6.7
01-04-2016;2539;10.6
01-05-2016;2539;15.4
01-06-2016;2539;23.3
01-07-2016;2539;29.6
01-08-2016;2539;28.8
01-09-2016;2539;22.7
01-10-2016;2539;15.3
01-11-2016;2539;0
01-12-2016;2539;4.7
01-01-2016;9434;8.7
01-02-2016;9434;0
01-03-2016;9434;12.2
01-04-2016;9434;18.6
01-05-2016;9434;24.5
01-06-2016;9434;0
01-07-2016;9434;0
01-08-2016;9434;0
01-09-2016;9434;0
01-10-2016;9434;0
01-11-2016;9434;0
01-12-2016;9434;0
